id,location_name,experience,safety_level
1188,Magarpatta,Busy and bustling,5
1189,Pimple Saudagar,Tech hub with good facilities,1
1190,Hinjewadi,Well-connected,3
1191,Swargate,Tech hub with good facilities,1
1192,Kothrud,Good residential area,3
1193,Deccan Gymkhana,Tech hub with good facilities,5
1194,Deccan Gymkhana,Great place with lots of amenities,3
1195,Swargate,Great place with lots of amenities,5
1196,Wakad,Peaceful and green,4
1197,Camp,Safe and quiet,4
1198,Dhankawadi,Vibrant and lively,1
1199,Pashan,Great place with lots of amenities,2
1200,Bibwewadi,Tech hub with good facilities,2
1201,Viman Nagar,Family-friendly,5
1202,Pashan,Busy and bustling,5
1203,Deccan Gymkhana,Family-friendly,1
1204,Kharadi,Good residential area,2
1205,Shivaji Nagar,Busy and bustling,2
1206,Hadapsar,Great place with lots of amenities,2
1207,Pimple Saudagar,Great place with lots of amenities,1
1208,Kharadi,Well-connected,2
1209,Deccan Gymkhana,Well-connected,5
1210,Bavdhan,Developing area,4
1211,Bavdhan,Good residential area,2
1212,Koregaon Park,Safe and quiet,1
1213,Pashan,Vibrant and lively,5
1214,Wakad,Well-connected,2
1215,Pashan,Great place with lots of amenities,5
1216,Yerawada,Safe and quiet,2
1217,Wakad,Peaceful and green,3
1218,Shivaji Nagar,Good residential area,2
1219,Yerawada,Vibrant and lively,3
1220,Baner,Developing area,4
1221,Dhankawadi,Tech hub with good facilities,2
1222,Koregaon Park,Safe and quiet,5
1223,Pashan,Well-connected,4
1224,Pimple Saudagar,Well-connected,1
1225,Pashan,Developing area,2
1226,Baner,Great place with lots of amenities,1
1227,Kharadi,Great place with lots of amenities,5
1228,Bibwewadi,Vibrant and lively,5
1229,Yerawada,Peaceful and green,1
1230,Magarpatta,Family-friendly,2
1231,Hinjewadi,Family-friendly,5
1232,Kharadi,Vibrant and lively,1
1233,Camp,Good residential area,5
1234,Kharadi,Tech hub with good facilities,2
1235,Camp,Good residential area,3
1236,Dhankawadi,Well-connected,1
1237,Kharadi,Good residential area,5
1238,Pimple Saudagar,Safe and quiet,1
1239,Dhankawadi,Family-friendly,5
1240,Kharadi,Good residential area,5
1241,Viman Nagar,Good residential area,4
1242,Baner,Safe and quiet,5
1243,Dhankawadi,Safe and quiet,4
1244,Shivaji Nagar,Family-friendly,5
1245,Viman Nagar,Busy and bustling,2
1246,Wakad,Great place with lots of amenities,3
1247,Kothrud,Busy and bustling,1
1248,Pimple Saudagar,Safe and quiet,3
1249,Aundh,Family-friendly,1
1250,Pimple Saudagar,Busy and bustling,4
1251,Yerawada,Well-connected,1
1252,Bibwewadi,Peaceful and green,5
1253,Baner,Great place with lots of amenities,3
1254,Kothrud,Great place with lots of amenities,2
1255,Hadapsar,Vibrant and lively,2
1256,Wakad,Good residential area,1
1257,Kharadi,Great place with lots of amenities,3
1258,Yerawada,Vibrant and lively,2
1259,Deccan Gymkhana,Peaceful and green,4
1260,Magarpatta,Developing area,4
1261,Kothrud,Busy and bustling,5
1262,Deccan Gymkhana,Tech hub with good facilities,4
1263,Camp,Safe and quiet,2
1264,Hinjewadi,Peaceful and green,3
1265,Hadapsar,Well-connected,1
1266,Baner,Safe and quiet,5
1267,Shivaji Nagar,Busy and bustling,1
1268,Camp,Well-connected,1
1269,Pimple Saudagar,Developing area,1
1270,Deccan Gymkhana,Well-connected,4
1271,Pimple Saudagar,Tech hub with good facilities,3
1272,Swargate,Well-connected,5
1273,Hinjewadi,Safe and quiet,5
1274,Kharadi,Vibrant and lively,5
1275,Shivaji Nagar,Tech hub with good facilities,1
1276,Hinjewadi,Tech hub with good facilities,2
1277,Hinjewadi,Busy and bustling,4
1278,Swargate,Tech hub with good facilities,3
1279,Bibwewadi,Family-friendly,3
1280,Yerawada,Safe and quiet,2
1281,Hinjewadi,Family-friendly,4
1282,Viman Nagar,Peaceful and green,3
1283,Bavdhan,Vibrant and lively,3
1284,Viman Nagar,Vibrant and lively,1
1285,Deccan Gymkhana,Family-friendly,2
1286,Deccan Gymkhana,Developing area,4
1287,Hinjewadi,Well-connected,4
1288,Kothrud,Tech hub with good facilities,3
1289,Swargate,Safe and quiet,3
1290,Deccan Gymkhana,Family-friendly,5
1291,Baner,Tech hub with good facilities,3
1292,Viman Nagar,Vibrant and lively,1
1293,Bibwewadi,Family-friendly,1
1294,Magarpatta,Busy and bustling,2
1295,Hinjewadi,Safe and quiet,1
1296,Dhankawadi,Well-connected,3
1297,Pimple Saudagar,Busy and bustling,5
1298,Bibwewadi,Peaceful and green,3
1299,Yerawada,Good residential area,1
1300,Bibwewadi,Vibrant and lively,1
1301,Koregaon Park,Good residential area,2
1302,Yerawada,Good residential area,2
1303,Hinjewadi,Well-connected,1
1304,Deccan Gymkhana,Well-connected,5
1305,Aundh,Busy and bustling,4
1306,Koregaon Park,Family-friendly,1
1307,Bavdhan,Great place with lots of amenities,3
1308,Hinjewadi,Good residential area,5
1309,Wakad,Great place with lots of amenities,1
1310,Wakad,Tech hub with good facilities,5
1311,Camp,Tech hub with good facilities,3
1312,Kharadi,Developing area,1
1313,Baner,Well-connected,4
1314,Hinjewadi,Developing area,1
1315,Hinjewadi,Great place with lots of amenities,3
1316,Wakad,Family-friendly,2
1317,Baner,Tech hub with good facilities,4
1318,Hinjewadi,Good residential area,1
1319,Bibwewadi,Peaceful and green,1
1320,Hadapsar,Family-friendly,4
1321,Magarpatta,Great place with lots of amenities,5
1322,Bavdhan,Tech hub with good facilities,1
1323,Pimple Saudagar,Family-friendly,3
1324,Deccan Gymkhana,Tech hub with good facilities,3
1325,Deccan Gymkhana,Developing area,4
1326,Magarpatta,Great place with lots of amenities,2
1327,Koregaon Park,Vibrant and lively,1
1328,Hinjewadi,Great place with lots of amenities,4
1329,Baner,Vibrant and lively,3
1330,Hadapsar,Well-connected,4
1331,Kothrud,Family-friendly,3
1332,Aundh,Developing area,4
1333,Pashan,Safe and quiet,5
1334,Hinjewadi,Family-friendly,2
1335,Magarpatta,Family-friendly,4
1336,Bibwewadi,Good residential area,4
1337,Shivaji Nagar,Developing area,3
1338,Bibwewadi,Great place with lots of amenities,4
1339,Camp,Family-friendly,4
1340,Aundh,Family-friendly,3
1341,Deccan Gymkhana,Busy and bustling,4
1342,Yerawada,Great place with lots of amenities,4
1343,Pashan,Family-friendly,5
1344,Bibwewadi,Peaceful and green,3
1345,Hinjewadi,Well-connected,2
1346,Baner,Peaceful and green,2
1347,Pimple Saudagar,Safe and quiet,5
1348,Hinjewadi,Good residential area,1
1349,Hinjewadi,Vibrant and lively,3
1350,Koregaon Park,Peaceful and green,2
1351,Kothrud,Good residential area,1
1352,Dhankawadi,Tech hub with good facilities,4
1353,Wakad,Safe and quiet,1
1354,Bavdhan,Developing area,1
1355,Shivaji Nagar,Developing area,1
1356,Hinjewadi,Peaceful and green,3
1357,Bavdhan,Great place with lots of amenities,5
1358,Pashan,Great place with lots of amenities,4
1359,Kothrud,Vibrant and lively,3
1360,Dhankawadi,Vibrant and lively,3
1361,Hadapsar,Well-connected,3
1362,Hadapsar,Good residential area,2
1363,Kharadi,Well-connected,2
1364,Baner,Family-friendly,1
1365,Hadapsar,Safe and quiet,5
1366,Yerawada,Great place with lots of amenities,2
1367,Dhankawadi,Peaceful and green,2
1368,Koregaon Park,Safe and quiet,4
1369,Viman Nagar,Developing area,2
1370,Baner,Vibrant and lively,2
1371,Kharadi,Peaceful and green,1
1372,Pashan,Good residential area,5
1373,Kharadi,Great place with lots of amenities,1
1374,Pimple Saudagar,Developing area,4
1375,Viman Nagar,Good residential area,4
1376,Hadapsar,Good residential area,3
1377,Pimple Saudagar,Developing area,3
1378,Hinjewadi,Good residential area,1
1379,Pimple Saudagar,Peaceful and green,2
1380,Shivaji Nagar,Family-friendly,1
1381,Hadapsar,Busy and bustling,1
1382,Hadapsar,Busy and bustling,1
1383,Kothrud,Developing area,1
1384,Koregaon Park,Safe and quiet,4
1385,Kharadi,Safe and quiet,2
1386,Bibwewadi,Busy and bustling,2
1387,Viman Nagar,Family-friendly,5
1388,Aundh,Great place with lots of amenities,4
1389,Pimple Saudagar,Safe and quiet,1
1390,Hinjewadi,Developing area,2
1391,Magarpatta,Safe and quiet,5
1392,Kharadi,Vibrant and lively,2
1393,Kothrud,Well-connected,3
1394,Hinjewadi,Developing area,1
1395,Magarpatta,Developing area,3
1396,Bavdhan,Busy and bustling,1
1397,Camp,Good residential area,2
1398,Magarpatta,Vibrant and lively,1
1399,Camp,Busy and bustling,1
1400,Hinjewadi,Well-connected,3
1401,Dhankawadi,Busy and bustling,2
1402,Hinjewadi,Vibrant and lively,2
1403,Dhankawadi,Family-friendly,5
1404,Pashan,Tech hub with good facilities,3
1405,Bavdhan,Vibrant and lively,3
1406,Aundh,Busy and bustling,2
1407,Koregaon Park,Safe and quiet,1
1408,Wakad,Peaceful and green,1
1409,Kothrud,Great place with lots of amenities,1
1410,Yerawada,Well-connected,4
1411,Wakad,Tech hub with good facilities,4
1412,Swargate,Developing area,5
1413,Viman Nagar,Peaceful and green,5
1414,Kharadi,Busy and bustling,2
1415,Pimple Saudagar,Well-connected,3
1416,Camp,Vibrant and lively,4
1417,Aundh,Developing area,1
1418,Kothrud,Great place with lots of amenities,4
1419,Hadapsar,Developing area,2
1420,Camp,Developing area,3
1421,Pimple Saudagar,Developing area,3
1422,Baner,Developing area,1
1423,Dhankawadi,Well-connected,1
1424,Magarpatta,Great place with lots of amenities,4
1425,Camp,Safe and quiet,3
1426,Bavdhan,Safe and quiet,2
1427,Deccan Gymkhana,Busy and bustling,4
1428,Swargate,Vibrant and lively,5
1429,Hadapsar,Tech hub with good facilities,4
1430,Bavdhan,Vibrant and lively,1
1431,Shivaji Nagar,Developing area,5
1432,Pashan,Developing area,3
1433,Koregaon Park,Developing area,5
1434,Yerawada,Family-friendly,2
1435,Dhankawadi,Peaceful and green,1
1436,Dhankawadi,Peaceful and green,2
1437,Hadapsar,Good residential area,3
1438,Deccan Gymkhana,Vibrant and lively,5
1439,Koregaon Park,Busy and bustling,4
1440,Pimple Saudagar,Well-connected,5
1441,Aundh,Tech hub with good facilities,4
1442,Baner,Vibrant and lively,1
1443,Swargate,Good residential area,2
1444,Viman Nagar,Well-connected,2
1445,Yerawada,Developing area,1
1446,Bavdhan,Family-friendly,3
1447,Deccan Gymkhana,Vibrant and lively,2
1448,Baner,Developing area,2
1449,Koregaon Park,Busy and bustling,3
1450,Dhankawadi,Good residential area,4
1451,Hinjewadi,Tech hub with good facilities,4
1452,Pashan,Tech hub with good facilities,1
1453,Kothrud,Developing area,4
1454,Pashan,Well-connected,5
1455,Wakad,Family-friendly,1
1456,Hinjewadi,Great place with lots of amenities,2
1457,Dhankawadi,Busy and bustling,2
1458,Koregaon Park,Safe and quiet,4
1459,Camp,Developing area,4
1460,Shivaji Nagar,Vibrant and lively,2
1461,Bavdhan,Busy and bustling,3
1462,Wakad,Tech hub with good facilities,3
1463,Hadapsar,Developing area,1
1464,Shivaji Nagar,Developing area,4
1465,Shivaji Nagar,Busy and bustling,1
1466,Kharadi,Good residential area,2
1467,Dhankawadi,Safe and quiet,2
1468,Viman Nagar,Great place with lots of amenities,1
1469,Baner,Family-friendly,3
1470,Baner,Vibrant and lively,5
1471,Deccan Gymkhana,Peaceful and green,5
1472,Hadapsar,Vibrant and lively,5
1473,Bavdhan,Safe and quiet,1
1474,Bibwewadi,Safe and quiet,3
1475,Pimple Saudagar,Well-connected,1
1476,Hinjewadi,Great place with lots of amenities,4
1477,Baner,Tech hub with good facilities,4
1478,Koregaon Park,Tech hub with good facilities,3
1479,Shivaji Nagar,Family-friendly,4
1480,Hadapsar,Vibrant and lively,5
1481,Deccan Gymkhana,Tech hub with good facilities,2
1482,Bavdhan,Developing area,1
1483,Bavdhan,Developing area,2
1484,Yerawada,Good residential area,1
1485,Swargate,Busy and bustling,1
1486,Deccan Gymkhana,Great place with lots of amenities,5
1487,Shivaji Nagar,Well-connected,3
1488,Aundh,Safe and quiet,4
1489,Camp,Well-connected,5
1490,Swargate,Good residential area,1
1491,Hadapsar,Busy and bustling,3
1492,Pimple Saudagar,Vibrant and lively,3
1493,Pimple Saudagar,Tech hub with good facilities,2
1494,Baner,Well-connected,1
1495,Viman Nagar,Tech hub with good facilities,4
1496,Viman Nagar,Developing area,4
1497,Bavdhan,Busy and bustling,5
1498,Kothrud,Good residential area,4
1499,Dhankawadi,Developing area,1
1500,Yerawada,Busy and bustling,3
1501,Deccan Gymkhana,Family-friendly,4
1502,Koregaon Park,Peaceful and green,4
1503,Viman Nagar,Tech hub with good facilities,5
1504,Deccan Gymkhana,Safe and quiet,1
1505,Pashan,Family-friendly,5
1506,Hinjewadi,Safe and quiet,1
1507,Magarpatta,Safe and quiet,1
1508,Shivaji Nagar,Vibrant and lively,1
1509,Baner,Safe and quiet,3
1510,Swargate,Busy and bustling,3
1511,Dhankawadi,Good residential area,2
1512,Dhankawadi,Developing area,1
1513,Magarpatta,Great place with lots of amenities,4
1514,Hadapsar,Family-friendly,1
1515,Viman Nagar,Developing area,5
1516,Wakad,Busy and bustling,3
1517,Viman Nagar,Developing area,5
1518,Bibwewadi,Tech hub with good facilities,1
1519,Deccan Gymkhana,Busy and bustling,5
1520,Viman Nagar,Busy and bustling,1
1521,Baner,Peaceful and green,3
1522,Kharadi,Tech hub with good facilities,4
1523,Deccan Gymkhana,Busy and bustling,3
1524,Hadapsar,Great place with lots of amenities,1
1525,Bibwewadi,Busy and bustling,3
1526,Baner,Vibrant and lively,1
1527,Viman Nagar,Tech hub with good facilities,3
1528,Bavdhan,Family-friendly,3
1529,Hinjewadi,Peaceful and green,5
1530,Hinjewadi,Great place with lots of amenities,5
1531,Shivaji Nagar,Developing area,1
1532,Pimple Saudagar,Good residential area,2
1533,Pashan,Family-friendly,4
1534,Yerawada,Well-connected,2
1535,Swargate,Peaceful and green,2
1536,Hadapsar,Great place with lots of amenities,1
1537,Koregaon Park,Developing area,1
1538,Yerawada,Vibrant and lively,3
1539,Kothrud,Good residential area,3
1540,Yerawada,Great place with lots of amenities,5
1541,Bibwewadi,Peaceful and green,5
1542,Pashan,Busy and bustling,3
1543,Shivaji Nagar,Good residential area,3
1544,Kharadi,Good residential area,2
1545,Hinjewadi,Good residential area,4
1546,Wakad,Peaceful and green,2
1547,Wakad,Safe and quiet,4
1548,Dhankawadi,Good residential area,3
1549,Swargate,Peaceful and green,1
1550,Wakad,Good residential area,4
1551,Yerawada,Good residential area,3
1552,Bavdhan,Tech hub with good facilities,4
1553,Viman Nagar,Good residential area,3
1554,Bibwewadi,Good residential area,1
1555,Dhankawadi,Family-friendly,1
1556,Hadapsar,Great place with lots of amenities,3
1557,Pashan,Busy and bustling,1
1558,Koregaon Park,Vibrant and lively,2
1559,Shivaji Nagar,Vibrant and lively,5
1560,Bibwewadi,Good residential area,2
1561,Pashan,Peaceful and green,2
1562,Bibwewadi,Well-connected,1
1563,Magarpatta,Busy and bustling,5
1564,Kothrud,Vibrant and lively,4
1565,Kothrud,Great place with lots of amenities,1
1566,Hinjewadi,Great place with lots of amenities,5
1567,Shivaji Nagar,Good residential area,2
1568,Bibwewadi,Vibrant and lively,2
1569,Kharadi,Great place with lots of amenities,5
1570,Aundh,Family-friendly,4
1571,Koregaon Park,Family-friendly,5
1572,Bavdhan,Good residential area,5
1573,Baner,Family-friendly,3
1574,Bavdhan,Good residential area,4
1575,Yerawada,Well-connected,2
1576,Pashan,Developing area,1
1577,Kharadi,Developing area,4
1578,Magarpatta,Vibrant and lively,1
1579,Baner,Vibrant and lively,1
1580,Aundh,Vibrant and lively,4
1581,Pashan,Well-connected,4
1582,Pashan,Vibrant and lively,3
1583,Pashan,Developing area,1
1584,Viman Nagar,Tech hub with good facilities,5
1585,Aundh,Busy and bustling,1
1586,Magarpatta,Good residential area,3
1587,Deccan Gymkhana,Family-friendly,4
1588,Magarpatta,Tech hub with good facilities,3
1589,Yerawada,Tech hub with good facilities,2
1590,Pashan,Safe and quiet,1
1591,Kharadi,Well-connected,4
1592,Wakad,Family-friendly,1
1593,Viman Nagar,Great place with lots of amenities,5
1594,Kothrud,Vibrant and lively,2
1595,Camp,Safe and quiet,5
1596,Shivaji Nagar,Busy and bustling,3
1597,Deccan Gymkhana,Well-connected,1
1598,Hinjewadi,Vibrant and lively,3
1599,Hinjewadi,Peaceful and green,3
1600,Shivaji Nagar,Safe and quiet,1
1601,Baner,Tech hub with good facilities,5
1602,Koregaon Park,Vibrant and lively,3
1603,Hinjewadi,Family-friendly,5
1604,Viman Nagar,Safe and quiet,3
1605,Magarpatta,Safe and quiet,3
1606,Wakad,Well-connected,4
1607,Pashan,Great place with lots of amenities,4
1608,Kharadi,Well-connected,5
1609,Baner,Busy and bustling,1
1610,Viman Nagar,Well-connected,1
1611,Wakad,Developing area,1
1612,Magarpatta,Tech hub with good facilities,3
1613,Kharadi,Vibrant and lively,2
1614,Koregaon Park,Well-connected,2
1615,Shivaji Nagar,Tech hub with good facilities,2
1616,Viman Nagar,Developing area,4
1617,Camp,Well-connected,5
1618,Viman Nagar,Family-friendly,2
1619,Yerawada,Peaceful and green,4
1620,Koregaon Park,Great place with lots of amenities,1
1621,Baner,Developing area,2
1622,Pashan,Vibrant and lively,4
1623,Swargate,Peaceful and green,1
1624,Magarpatta,Good residential area,3
1625,Magarpatta,Developing area,1
1626,Aundh,Family-friendly,4
1627,Pimple Saudagar,Good residential area,5
1628,Bavdhan,Great place with lots of amenities,2
1629,Pashan,Well-connected,5
1630,Dhankawadi,Well-connected,2
1631,Magarpatta,Family-friendly,3
1632,Yerawada,Developing area,5
1633,Shivaji Nagar,Well-connected,2
1634,Baner,Tech hub with good facilities,4
1635,Hadapsar,Tech hub with good facilities,4
1636,Pimple Saudagar,Tech hub with good facilities,4
1637,Bavdhan,Busy and bustling,2
1638,Camp,Safe and quiet,3
1639,Hinjewadi,Great place with lots of amenities,2
1640,Kharadi,Peaceful and green,1
1641,Swargate,Good residential area,3
1642,Baner,Great place with lots of amenities,5
1643,Magarpatta,Safe and quiet,1
1644,Shivaji Nagar,Good residential area,1
1645,Magarpatta,Safe and quiet,3
1646,Pimple Saudagar,Great place with lots of amenities,2
1647,Pimple Saudagar,Family-friendly,3
1648,Aundh,Busy and bustling,4
1649,Aundh,Busy and bustling,2
1650,Baner,Developing area,3
1651,Hinjewadi,Safe and quiet,1
1652,Swargate,Tech hub with good facilities,5
1653,Camp,Good residential area,5
1654,Shivaji Nagar,Well-connected,2
1655,Camp,Busy and bustling,4
1656,Baner,Tech hub with good facilities,5
1657,Kharadi,Great place with lots of amenities,5
1658,Yerawada,Tech hub with good facilities,3
1659,Viman Nagar,Good residential area,4
1660,Aundh,Vibrant and lively,2
1661,Pimple Saudagar,Vibrant and lively,5
1662,Camp,Busy and bustling,5
1663,Magarpatta,Busy and bustling,2
1664,Swargate,Busy and bustling,4
1665,Pashan,Busy and bustling,2
1666,Koregaon Park,Safe and quiet,3
1667,Wakad,Busy and bustling,5
1668,Wakad,Safe and quiet,4
1669,Camp,Busy and bustling,2
1670,Baner,Peaceful and green,5
1671,Hinjewadi,Developing area,1
1672,Baner,Developing area,5
1673,Kothrud,Great place with lots of amenities,4
1674,Kothrud,Family-friendly,5
1675,Shivaji Nagar,Peaceful and green,5
1676,Kothrud,Good residential area,1
1677,Wakad,Safe and quiet,4
1678,Hadapsar,Tech hub with good facilities,1
1679,Koregaon Park,Peaceful and green,1
1680,Deccan Gymkhana,Safe and quiet,4
1681,Dhankawadi,Tech hub with good facilities,5
1682,Koregaon Park,Family-friendly,1
1683,Deccan Gymkhana,Developing area,4
1684,Viman Nagar,Vibrant and lively,2
1685,Camp,Vibrant and lively,3
1686,Kothrud,Family-friendly,2
1687,Swargate,Developing area,3
1688,Kharadi,Tech hub with good facilities,3
1689,Wakad,Family-friendly,2
1690,Magarpatta,Busy and bustling,2
1691,Pashan,Developing area,4
1692,Hadapsar,Peaceful and green,2
1693,Yerawada,Safe and quiet,4
1694,Aundh,Vibrant and lively,5
1695,Magarpatta,Great place with lots of amenities,2
1696,Koregaon Park,Tech hub with good facilities,1
1697,Bibwewadi,Developing area,4
1698,Deccan Gymkhana,Peaceful and green,5
1699,Viman Nagar,Developing area,3
1700,Bavdhan,Safe and quiet,5
1701,Wakad,Tech hub with good facilities,5
1702,Baner,Safe and quiet,2
1703,Swargate,Busy and bustling,1
1704,Hinjewadi,Family-friendly,2
1705,Aundh,Well-connected,2
1706,Pashan,Developing area,4
1707,Swargate,Great place with lots of amenities,5
1708,Baner,Vibrant and lively,3
1709,Viman Nagar,Tech hub with good facilities,5
1710,Aundh,Busy and bustling,1
1711,Pashan,Good residential area,5
1712,Dhankawadi,Peaceful and green,2
1713,Deccan Gymkhana,Well-connected,1
1714,Pimple Saudagar,Busy and bustling,1
1715,Hadapsar,Peaceful and green,1
1716,Koregaon Park,Good residential area,1
1717,Bavdhan,Safe and quiet,1
1718,Bibwewadi,Well-connected,4
1719,Hadapsar,Developing area,5
1720,Baner,Tech hub with good facilities,3
1721,Deccan Gymkhana,Great place with lots of amenities,3
1722,Camp,Developing area,5
1723,Bavdhan,Peaceful and green,5
1724,Swargate,Vibrant and lively,5
1725,Koregaon Park,Developing area,2
1726,Viman Nagar,Peaceful and green,3
1727,Dhankawadi,Peaceful and green,4
1728,Hadapsar,Good residential area,5
1729,Shivaji Nagar,Tech hub with good facilities,1
1730,Dhankawadi,Great place with lots of amenities,1
1731,Swargate,Tech hub with good facilities,5
1732,Aundh,Well-connected,4
1733,Deccan Gymkhana,Well-connected,5
1734,Swargate,Tech hub with good facilities,2
1735,Camp,Great place with lots of amenities,1
1736,Pimple Saudagar,Busy and bustling,2
1737,Aundh,Developing area,2
1738,Hinjewadi,Peaceful and green,1
1739,Aundh,Good residential area,1
1740,Deccan Gymkhana,Busy and bustling,2
1741,Wakad,Well-connected,2
1742,Shivaji Nagar,Developing area,4
1743,Yerawada,Peaceful and green,4
1744,Bavdhan,Developing area,4
1745,Pimple Saudagar,Good residential area,4
1746,Pimple Saudagar,Tech hub with good facilities,3
1747,Kharadi,Tech hub with good facilities,3
1748,Pashan,Busy and bustling,5
1749,Bibwewadi,Developing area,1
1750,Bavdhan,Family-friendly,5
1751,Bibwewadi,Good residential area,2
1752,Kothrud,Family-friendly,4
1753,Koregaon Park,Safe and quiet,1
1754,Yerawada,Tech hub with good facilities,4
1755,Koregaon Park,Family-friendly,1
1756,Pashan,Great place with lots of amenities,1
1757,Hinjewadi,Tech hub with good facilities,1
1758,Kothrud,Well-connected,2
1759,Dhankawadi,Peaceful and green,5
1760,Baner,Great place with lots of amenities,2
1761,Camp,Peaceful and green,4
1762,Magarpatta,Peaceful and green,5
1763,Bibwewadi,Peaceful and green,3
1764,Magarpatta,Peaceful and green,3
1765,Bibwewadi,Great place with lots of amenities,5
1766,Magarpatta,Safe and quiet,1
1767,Shivaji Nagar,Developing area,1
1768,Yerawada,Family-friendly,2
1769,Pimple Saudagar,Peaceful and green,5
1770,Shivaji Nagar,Developing area,4
1771,Baner,Safe and quiet,3
1772,Pimple Saudagar,Well-connected,4
1773,Aundh,Well-connected,2
1774,Aundh,Family-friendly,5
1775,Hinjewadi,Peaceful and green,5
1776,Viman Nagar,Peaceful and green,2
1777,Yerawada,Busy and bustling,2
1778,Swargate,Safe and quiet,3
1779,Wakad,Peaceful and green,5
1780,Camp,Vibrant and lively,1
1781,Pashan,Family-friendly,4
1782,Bibwewadi,Well-connected,1
1783,Koregaon Park,Safe and quiet,3
1784,Kothrud,Peaceful and green,4
1785,Aundh,Great place with lots of amenities,1
1786,Wakad,Good residential area,4
1787,Shivaji Nagar,Great place with lots of amenities,5
1788,Hadapsar,Great place with lots of amenities,3
1789,Camp,Developing area,3
1790,Hadapsar,Tech hub with good facilities,1
1791,Magarpatta,Tech hub with good facilities,3
1792,Baner,Tech hub with good facilities,4
1793,Wakad,Great place with lots of amenities,1
1794,Aundh,Safe and quiet,5
1795,Koregaon Park,Good residential area,3
1796,Viman Nagar,Busy and bustling,5
1797,Swargate,Good residential area,1
1798,Hinjewadi,Peaceful and green,3
1799,Kharadi,Vibrant and lively,1
1800,Shivaji Nagar,Vibrant and lively,3
1801,Bavdhan,Good residential area,4
1802,Camp,Good residential area,5
1803,Camp,Developing area,3
1804,Wakad,Tech hub with good facilities,2
1805,Magarpatta,Peaceful and green,1
1806,Kothrud,Great place with lots of amenities,3
1807,Shivaji Nagar,Safe and quiet,3
1808,Shivaji Nagar,Busy and bustling,3
1809,Bavdhan,Tech hub with good facilities,5
1810,Aundh,Great place with lots of amenities,4
1811,Swargate,Family-friendly,5
1812,Viman Nagar,Safe and quiet,3
1813,Kharadi,Family-friendly,3
1814,Kothrud,Tech hub with good facilities,2
1815,Viman Nagar,Busy and bustling,1
1816,Pashan,Well-connected,3
1817,Bavdhan,Peaceful and green,2
1818,Hinjewadi,Well-connected,2
1819,Bavdhan,Developing area,1
1820,Bavdhan,Peaceful and green,3
1821,Dhankawadi,Well-connected,1
1822,Shivaji Nagar,Vibrant and lively,5
1823,Bibwewadi,Vibrant and lively,3
1824,Shivaji Nagar,Family-friendly,3
1825,Camp,Busy and bustling,4
1826,Yerawada,Family-friendly,5
1827,Wakad,Safe and quiet,1
1828,Deccan Gymkhana,Great place with lots of amenities,1
1829,Hinjewadi,Great place with lots of amenities,1
1830,Bavdhan,Great place with lots of amenities,5
1831,Shivaji Nagar,Tech hub with good facilities,1
1832,Hadapsar,Great place with lots of amenities,2
1833,Bibwewadi,Busy and bustling,3
1834,Wakad,Great place with lots of amenities,4
1835,Viman Nagar,Good residential area,3
1836,Camp,Good residential area,1
1837,Viman Nagar,Tech hub with good facilities,1
1838,Dhankawadi,Developing area,4
1839,Kothrud,Developing area,4
1840,Koregaon Park,Family-friendly,1
1841,Bibwewadi,Peaceful and green,5
1842,Camp,Family-friendly,4
1843,Shivaji Nagar,Well-connected,1
1844,Kothrud,Tech hub with good facilities,3
1845,Kothrud,Great place with lots of amenities,1
1846,Dhankawadi,Well-connected,4
1847,Bibwewadi,Family-friendly,1
1848,Shivaji Nagar,Good residential area,1
1849,Kothrud,Developing area,5
1850,Kharadi,Safe and quiet,5
1851,Yerawada,Developing area,4
1852,Yerawada,Peaceful and green,5
1853,Viman Nagar,Busy and bustling,5
1854,Dhankawadi,Vibrant and lively,2
1855,Viman Nagar,Well-connected,5
1856,Kharadi,Busy and bustling,5
1857,Viman Nagar,Good residential area,2
1858,Aundh,Safe and quiet,2
1859,Wakad,Vibrant and lively,3
1860,Kothrud,Well-connected,2
1861,Koregaon Park,Tech hub with good facilities,3
1862,Bavdhan,Good residential area,2
1863,Koregaon Park,Good residential area,3
1864,Pimple Saudagar,Family-friendly,2
1865,Kothrud,Well-connected,1
1866,Pashan,Developing area,4
1867,Deccan Gymkhana,Good residential area,5
1868,Yerawada,Tech hub with good facilities,3
1869,Viman Nagar,Great place with lots of amenities,3
1870,Deccan Gymkhana,Developing area,3
1871,Bavdhan,Busy and bustling,5
1872,Baner,Developing area,5
1873,Viman Nagar,Safe and quiet,5
1874,Kharadi,Peaceful and green,2
1875,Pashan,Tech hub with good facilities,1
1876,Magarpatta,Busy and bustling,1
1877,Swargate,Vibrant and lively,4
1878,Bibwewadi,Safe and quiet,1
1879,Hinjewadi,Well-connected,5
1880,Camp,Family-friendly,5
1881,Hinjewadi,Developing area,5
1882,Shivaji Nagar,Vibrant and lively,3
1883,Deccan Gymkhana,Great place with lots of amenities,1
1884,Pimple Saudagar,Tech hub with good facilities,4
1885,Kothrud,Vibrant and lively,3
1886,Camp,Busy and bustling,2
1887,Bavdhan,Peaceful and green,5
1888,Pashan,Safe and quiet,4
1889,Viman Nagar,Developing area,2
1890,Bavdhan,Well-connected,1
1891,Hadapsar,Developing area,4
